_id,No,Kode Wilayah Kabupaten / Kota,Nama Kabupaten/Kota,Latitude,Longitude,BANJIR,CUACA EKSTREM,ERUPSI GUNUNG API,GELOMBANG PASANG DAN ABRASI,GEMPABUMI,KEBAKARAN HUTAN DAN LAHAN,KEKERINGAN,TANAH LONGSOR,TSUNAMI
1,1,1101,ACEH SELATAN,3.1628641169999998083994796616025269031524658203125,97.43535110999999915293301455676555633544921875,5,0,0,0,0,4,0,0,0.0
2,2,1102,ACEH TENGGARA,3.369588337000000155541101776179857552051544189453125,97.6955362199999939321060082875192165374755859375,6,1,0,0,0,3,0,0,0.0
3,3,1103,ACEH TIMUR,4.6287753049999995624830262386240065097808837890625,97.6286390000000068312147050164639949798583984375,2,1,0,0,0,0,0,0,0.0
4,4,1104,ACEH TENGAH,4.52998297199999999662622940377332270145416259765625,96.8590331099999986008697305805981159210205078125,2,1,0,0,0,0,0,1,0.0
5,5,1105,ACEH BARAT,4.45664293200000027894702725461684167385101318359375,96.1854530800000020462903194129467010498046875,3,1,0,0,0,3,0,0,0.0
6,6,1106,ACEH BESAR,5.3799382890000000401187207899056375026702880859375,95.5156078100000058839214034378528594970703125,0,1,0,0,0,10,1,0,0.0
7,7,1107,PIDIE,5.06823418300000039238284443854354321956634521484375,96.0071960599999982832741807214915752410888671875,3,0,0,0,0,0,0,0,0.0
8,8,1108,ACEH UTARA,5.0148107890000002129227141267620027065277099609375,97.1820037199999973154262988828122615814208984375,1,2,0,0,0,0,0,0,0.0
9,9,1109,SIMEULUE,2.613300537000000201004468181054107844829559326171875,96.0856768200000033175456337630748748779296875,1,0,0,0,0,0,0,0,0.0
10,10,1110,ACEH SINGKIL,2.349932866000000064587993620079942047595977783203125,97.847088630000001785447238944470882415771484375,5,0,0,0,0,0,0,0,0.0
11,11,1111,BIREUEN,5.09366052399999968969268593355081975460052490234375,96.6062664100000034750337363220751285552978515625,3,2,0,0,0,0,0,0,0.0
12,12,1112,ACEH BARAT DAYA,3.824899233000000009496943675912916660308837890625,96.8783204100000006064874469302594661712646484375,0,1,0,0,0,0,0,1,0.0
13,13,1113,GAYO LUES,3.98192676499999986816646924125961959362030029296875,97.35753015000000232248567044734954833984375,2,0,0,0,0,1,0,0,0.0
14,14,1114,ACEH JAYA,4.83218352000000006540858521475456655025482177734375,95.67870646000000078856828622519969940185546875,5,2,0,0,0,4,0,0,0.0
15,15,1115,NAGAN RAYA,4.15541007599999989707839631591923534870147705078125,96.5067815099999961603316478431224822998046875,2,0,0,0,0,2,0,0,0.0
16,16,1116,ACEH TAMIANG,4.2277264490000003860359356622211635112762451171875,97.976881370000000970321707427501678466796875,1,0,0,0,0,0,0,0,0.0
17,17,1117,BENER MERIAH,4.7673141599999997453096511890180408954620361328125,97.0071180700000041952080209739506244659423828125,0,0,0,0,0,8,0,0,0.0
18,18,1118,PIDIE JAYA,5.1247143760000000156651367433369159698486328125,96.2135337299999946480966173112392425537109375,1,1,0,0,0,0,0,0,0.0
19,19,1171,KOTA BANDA ACEH,5.55825848400000044335911297821439802646636962890625,95.327928909999997131308191455900669097900390625,0,1,0,0,0,0,0,0,0.0
20,20,1175,KOTA SUBULUSSALAM,2.7356146890000001548060026834718883037567138671875,97.937240720000005467227310873568058013916015625,5,0,0,0,0,0,0,0,0.0
21,21,1201,TAPANULI TENGAH,1.833899171000000105635763247846625745296478271484375,98.6597392299999995657344697974622249603271484375,2,0,0,0,0,2,0,0,0.0
22,22,1202,TAPANULI UTARA,1.9897653379999999945226818454102613031864166259765625,99.0697380600000059303056332282721996307373046875,3,2,0,0,0,0,0,2,0.0
23,23,1203,TAPANULI SELATAN,1.4927516219999998892120629534474574029445648193359375,99.25806493999999702282366342842578887939453125,8,1,0,0,0,4,0,0,0.0
24,24,1205,LANGKAT,3.710740868999999886312934904708527028560638427734375,98.220346019999993814053595997393131256103515625,8,0,0,0,0,16,0,0,0.0
25,25,1206,KARO,3.12067996499999988913032211712561547756195068359375,98.2960322800000056986391427926719188690185546875,4,0,0,0,0,25,0,4,0.0
26,26,1207,DELI SERDANG,3.48087317500000015257910490618087351322174072265625,98.694354000000004134562914259731769561767578125,14,15,0,0,0,3,0,2,0.0
27,27,1208,SIMALUNGUN,2.977024474999999892332880335743539035320281982421875,99.0332349499999935460436972789466381072998046875,6,5,0,0,0,4,0,0,0.0
28,28,1209,ASAHAN,2.80253917900000004692628863267600536346435546875,99.56285619999999880747054703533649444580078125,8,0,0,0,0,6,0,0,0.0
29,29,1210,LABUHANBATU,2.279377815000000140344127430580556392669677734375,100.056500999999997247869032435119152069091796875,1,1,0,0,0,20,0,0,0.0
30,30,1211,DAIRI,2.843625958000000064629375629010610282421112060546875,98.267288320000005796828190796077251434326171875,5,1,0,0,0,5,0,2,0.0
31,31,1212,TOBA,2.37973397799999997204167812014929950237274169921875,99.264208069999995132093317806720733642578125,0,1,0,0,0,8,0,0,0.0
32,32,1213,MANDAILING NATAL,0.77436901899999999177026666075107641518115997314453125,99.3694323499999967452822602353990077972412109375,7,1,0,0,0,2,0,0,0.0
33,33,1215,PAKPAK BHARAT,2.554177523999999976922481437213718891143798828125,98.2406047099999994998142938129603862762451171875,0,0,0,0,0,1,0,1,0.0
34,34,1216,HUMBANG HASUNDUTAN,2.2707262359999997869408616679720580577850341796875,98.5724314600000042219107854180037975311279296875,1,1,0,0,0,0,0,0,0.0
