"id","nama_jalan","foto_path","latitude","longitude","created_at","statuslaporan"
"2","Jl. Raya Plumbon KM 1 Segmen 5","uploads/laporan_cirebon_0001.jpg","-6.8142879","108.4455828","2023-06-09 12:17:49","selesai"
"3","Jl. Raya Pasaleman KM 3 Segmen 7","uploads/laporan_cirebon_0002.jpg","-6.8888761","108.4240368","2023-12-28 17:13:36","diperbaiki"
"4","Jl. Kartini KM 18 Segmen 4","uploads/laporan_cirebon_0003.jpg","-6.6493931","108.7096227","2024-10-13 23:49:57","diterima"
"5","Jl. Raya Tengah Tani KM 9 Segmen 1","uploads/laporan_cirebon_0004.jpg","-6.6344174","108.4550399","2024-10-18 19:12:24","diterima"
"6","Jl. Raya Weru KM 7 Segmen 6","uploads/laporan_cirebon_0005.jpg","-6.8642264","108.5585658","2024-07-11 22:43:16","selesai"
"7","Jl. Raya Gunung Jati KM 9 Segmen 1","uploads/laporan_cirebon_0006.jpg","-6.6445939","108.6320272","2024-08-11 07:47:04","diterima"
"8","Jl. Raya Beber KM 21 Segmen 6","uploads/laporan_cirebon_0007.jpg","-6.6979267","108.7111488","2023-03-13 11:27:24","selesai"
"9","Jl. Raya Beber KM 3 Segmen 4","uploads/laporan_cirebon_0008.jpg","-6.5967307","108.5586593","2024-12-05 15:21:40","selesai"
"10","Jl. Raya Dukupuntang KM 6 Segmen 6","uploads/laporan_cirebon_0009.jpg","-6.7756553","108.6949823","2025-12-26 12:45:27","ditolak"
"11","Jl. Fatahillah KM 20 Segmen 3","uploads/laporan_cirebon_0010.jpg","-6.713051","108.4950611","2024-12-19 09:18:35","diperbaiki"
"12","Jl. Raya Pabedilan KM 8 Segmen 6","uploads/laporan_cirebon_0011.jpg","-6.6050018","108.74472","2023-12-23 02:31:51","selesai"
"13","Jl. Raya Kedawung KM 13 Segmen 5","uploads/laporan_cirebon_0012.jpg","-6.876834","108.809174","2025-05-31 09:00:17","selesai"
"14","Jl. Raya Kedawung KM 7 Segmen 8","uploads/laporan_cirebon_0013.jpg","-6.7615288","108.8098374","2024-12-14 02:14:13","diterima"
"15","Jl. Raya Sumber KM 8 Segmen 5","uploads/laporan_cirebon_0014.jpg","-6.6385452","108.5813639","2025-06-25 18:41:03","diperbaiki"
"16","Jl. Raya Babakan KM 5 Segmen 8","uploads/laporan_cirebon_0015.jpg","-6.8681817","108.4021447","2023-06-20 15:00:57","diterima"
"17","Jl. Raya Plered KM 22 Segmen 7","uploads/laporan_cirebon_0016.jpg","-6.6912568","108.5608406","2025-07-14 23:19:50","ditolak"
"18","Jl. Raya Waled KM 9 Segmen 1","uploads/laporan_cirebon_0017.jpg","-6.6619008","108.4338393","2025-04-14 10:42:17","selesai"
"19","Jl. Raya Klangenan KM 4 Segmen 5","uploads/laporan_cirebon_0018.jpg","-6.7478322","108.5932501","2024-02-14 10:51:19","ditolak"
"20","Jl. Raya Arjawinangun KM 17 Segmen 2","uploads/laporan_cirebon_0019.jpg","-6.5953185","108.5202691","2025-09-19 20:45:49","diperbaiki"
"21","Jl. Raya Palimanan KM 5 Segmen 6","uploads/laporan_cirebon_0020.jpg","-6.6331212","108.6335081","2025-04-04 04:01:04","ditolak"
"22","Jl. Raya Gunung Jati KM 11 Segmen 8","uploads/laporan_cirebon_0021.jpg","-6.8931831","108.8166763","2024-04-22 23:57:27","diterima"
"23","Jl. Raya Losari KM 19 Segmen 2","uploads/laporan_cirebon_0022.jpg","-6.8700213","108.6084155","2023-04-18 19:25:46","ditolak"
"24","Jl. Raya Pasaleman KM 25 Segmen 3","uploads/laporan_cirebon_0023.jpg","-6.855063","108.6033827","2025-05-04 09:09:49","diterima"
"25","Jl. Raya Waled KM 20 Segmen 7","uploads/laporan_cirebon_0024.jpg","-6.562473","108.8165893","2025-12-07 23:07:46","diterima"
"26","Jl. Raya Talun KM 13 Segmen 6","uploads/laporan_cirebon_0025.jpg","-6.746665","108.6232606","2023-07-08 06:21:48","diterima"
"27","Jl. Fatahillah KM 11 Segmen 1","uploads/laporan_cirebon_0026.jpg","-6.6940919","108.4881539","2023-12-09 09:17:57","diterima"
"28","Jl. Cipto Mangunkusumo KM 8 Segmen 2","uploads/laporan_cirebon_0027.jpg","-6.583103","108.7840286","2023-04-21 08:45:12","diperbaiki"
"29","Jl. Raya Lemahabang KM 22 Segmen 8","uploads/laporan_cirebon_0028.jpg","-6.8250171","108.4421866","2025-06-06 09:01:46","diperbaiki"
"30","Jl. Raya Losari KM 16 Segmen 7","uploads/laporan_cirebon_0029.jpg","-6.8333565","108.4255575","2024-10-31 21:45:10","diperbaiki"
"31","Jl. Raya Kapetakan KM 15 Segmen 1","uploads/laporan_cirebon_0030.jpg","-6.6643224","108.8425576","2023-06-03 04:17:03","diterima"
"32","Jl. Raya Klangenan KM 4 Segmen 4","uploads/laporan_cirebon_0031.jpg","-6.8329435","108.6320543","2023-08-07 01:22:29","diperbaiki"
"33","Jl. Raya Lemahabang KM 15 Segmen 4","uploads/laporan_cirebon_0032.jpg","-6.5939299","108.4154309","2025-05-05 04:36:53","diterima"
