eps,min_samples,n_clusters,n_noise,noise_pct,silhouette,score,rank
93.92857142857143,5,8,129,28.67,0.4449,0.3174,1
87.85714285714286,6,6,166,36.89,0.4972,0.3138,2
93.92857142857143,7,5,171,38.0,0.4938,0.3062,3
75.71428571428571,5,9,172,38.22,0.4893,0.3023,4
63.57142857142857,3,24,133,29.56,0.4126,0.2907,5
100.0,8,5,179,39.78,0.4728,0.2848,6
75.71428571428571,4,11,141,31.33,0.4055,0.2784,7
69.64285714285714,4,14,158,35.11,0.418,0.2712,8
57.5,3,23,163,36.22,0.4016,0.2561,9
87.85714285714286,7,7,189,42.0,0.4339,0.2517,10
63.57142857142857,4,14,187,41.56,0.4173,0.2439,11
81.78571428571428,6,8,178,39.56,0.4003,0.2419,12
57.5,2,46,117,26.0,0.3267,0.2417,13
69.64285714285714,7,6,259,57.56,0.5608,0.238,14
69.64285714285714,5,10,200,44.44,0.4279,0.2377,15
63.57142857142857,2,43,95,21.11,0.2997,0.2364,16
81.78571428571428,8,6,243,54.0,0.5105,0.2348,17
93.92857142857143,8,6,202,44.89,0.4244,0.2339,18
63.57142857142857,5,10,222,49.33,0.4591,0.2326,19
81.78571428571428,5,9,157,34.89,0.3543,0.2307,20
75.71428571428571,6,11,194,43.11,0.404,0.2298,21
33.214285714285715,2,48,254,56.44,0.5256,0.2289,22
75.71428571428571,8,7,254,56.44,0.5152,0.2244,23
69.64285714285714,6,9,226,50.22,0.4443,0.2211,24
51.42857142857143,2,52,136,30.22,0.3155,0.2201,25
87.85714285714286,8,8,210,46.67,0.407,0.217,26
75.71428571428571,7,8,229,50.89,0.4378,0.215,27
63.57142857142857,6,7,261,58.0,0.5091,0.2138,28
81.78571428571428,7,9,209,46.44,0.3975,0.2129,29
69.64285714285714,8,7,275,61.11,0.5254,0.2043,30
63.57142857142857,7,7,281,62.44,0.5402,0.2029,31
87.85714285714286,5,8,144,32.0,0.2952,0.2007,32
93.92857142857143,6,8,145,32.22,0.2956,0.2004,33
51.42857142857143,3,27,186,41.33,0.3384,0.1986,34
45.357142857142854,4,13,279,62.0,0.5198,0.1975,35
45.357142857142854,3,23,233,51.78,0.4061,0.1958,36
51.42857142857143,4,13,245,54.44,0.4217,0.1921,37
51.42857142857143,6,6,315,70.0,0.6317,0.1895,38
39.285714285714285,3,20,275,61.11,0.4807,0.1869,39
57.5,4,18,206,45.78,0.3428,0.1858,40
57.5,6,10,277,61.56,0.4732,0.1819,41
45.357142857142854,2,52,175,38.89,0.2966,0.1812,42
57.5,7,5,309,68.67,0.5765,0.1806,43
27.142857142857142,2,41,317,70.44,0.5984,0.1769,44
39.285714285714285,2,58,199,44.22,0.316,0.1762,45
57.5,5,11,252,56.0,0.399,0.1756,46
63.57142857142857,8,4,314,69.78,0.564,0.1705,47
45.357142857142854,5,10,310,68.89,0.5132,0.1597,48
51.42857142857143,5,11,274,60.89,0.4083,0.1597,49
33.214285714285715,3,18,314,69.78,0.5199,0.1571,50
21.07142857142857,2,36,359,79.78,0.7079,0.1431,51
45.357142857142854,6,6,333,74.0,0.4741,0.1233,52
51.42857142857143,8,5,355,78.89,0.5832,0.1231,53
51.42857142857143,7,6,329,73.11,0.4575,0.123,54
69.64285714285714,3,20,99,22.0,0.1465,0.1142,55
57.5,8,4,335,74.44,0.4415,0.1128,56
33.214285714285715,4,13,354,78.67,0.5049,0.1077,57
100.0,5,9,108,24.0,0.139,0.1056,58
27.142857142857142,3,18,363,80.67,0.54,0.1044,59
39.285714285714285,4,12,318,70.67,0.3469,0.1017,60
100.0,6,7,131,29.11,0.1338,0.0949,61
45.357142857142854,7,5,362,80.44,0.4838,0.0946,62
75.71428571428571,2,30,68,15.11,0.1074,0.0911,63
75.71428571428571,3,21,86,19.11,0.1086,0.0878,64
33.214285714285715,5,6,402,89.33,0.7996,0.0853,65
39.285714285714285,5,8,342,76.0,0.3392,0.0814,66
69.64285714285714,2,31,77,17.11,0.0967,0.0802,67
45.357142857142854,8,3,410,91.11,0.9008,0.0801,68
39.285714285714285,6,8,376,83.56,0.4867,0.08,69
27.142857142857142,4,8,404,89.78,0.7005,0.0716,70
15.0,2,16,410,91.11,0.7415,0.0659,71
39.285714285714285,7,5,407,90.44,0.6874,0.0657,72
21.07142857142857,3,9,413,91.78,0.7927,0.0652,73
27.142857142857142,5,2,432,96.0,0.9337,0.0373,74
27.142857142857142,6,2,432,96.0,0.9337,0.0373,75
33.214285714285715,6,2,432,96.0,0.9337,0.0373,76
15.0,3,2,438,97.33,0.805,0.0215,77
100.0,7,6,153,34.0,-0.1096,-0.0723,78
81.78571428571428,4,11,123,27.33,-0.1077,-0.0783,79
100.0,4,15,73,16.22,-0.114,-0.0955,80
93.92857142857143,4,15,83,18.44,-0.1194,-0.0974,81
87.85714285714286,3,15,64,14.22,-0.1228,-0.1053,82
93.92857142857143,3,13,58,12.89,-0.1304,-0.1136,83
87.85714285714286,4,15,102,22.67,-0.1572,-0.1216,84
81.78571428571428,2,27,57,12.67,-0.1473,-0.1286,85
87.85714285714286,2,24,46,10.22,-0.1453,-0.1305,86
81.78571428571428,3,20,71,15.78,-0.1733,-0.146,87
