cluster_id,place_name,n_points,centroid_lat,centroid_lon
10,Mergowati,114,-7.272519,110.100192
7,Upt Rantau Kumpai Iii,30,-4.110236,103.782167
1,Hitenano,28,2.576963,99.035394
20,Lemoe,23,-4.143956,119.77001
3,Batusangkar,14,-0.521766,100.594757
0,Linge,11,4.622707,96.589268
17,Hiyung,9,-2.875469,115.144656
13,Oof,6,-9.667269,124.381887
19,,6,0.679335,122.920785
6,,4,-1.548935,103.602205
18,,4,1.343298,124.886176
4,,3,-1.425209,101.229158
5,,3,0.567845,101.453404
12,,3,-8.467568,118.540111
14,,3,-8.677825,121.336108
15,,3,0.986187,109.560668
16,,3,-0.017877,109.341637
21,,3,-1.233156,133.852794
11,,1,-8.829709,116.915058
