cluster_id,place_name,n_points,centroid_lat,centroid_lon
33,Cilandak Barat,30,-6.298596,106.777663
157,Werasari,29,-6.978224,108.122784
133,Kledung,10,-7.397544,110.080249
555,Tangse,7,4.762065,95.998066
329,Jerukgulung,6,-7.554771,111.70346
218,Batu Basa,5,-0.470868,100.442428
245,,5,-3.35537,102.591595
152,,4,-0.143294,101.624102
309,,4,0.507771,101.521567
373,,4,2.108118,99.094188
129,,3,-7.920969,112.477123
456,,3,-1.9758,120.294886
692,,3,-7.856294,113.955022
839,,3,1.429783,114.741041
406,,2,2.995163,98.091093
528,,2,3.600842,98.682985
605,,2,3.80721,97.524681
629,,2,-2.216475,102.739928
635,,2,1.451323,124.832763
646,,2,-5.320472,120.048584
647,,2,-3.368666,115.598197
756,,2,4.345565,97.19
795,,2,-2.652013,140.702719
871,,2,0.731871,123.98418
904,,2,-8.335562,115.617073
980,,2,-4.463945,139.299532
567,,1,-9.175972,124.916354
750,,1,-8.672,121.6
1011,,1,-6.845,105.555
