cluster_id,place_name,n_points,centroid_lat,centroid_lon
0,Kabupaten Cirebon,379,-6.708352,108.483313
2,Kabupaten Cirebon,195,-6.816027,108.620932
21,Brebes,86,-6.915447,108.76348
23,Kabupaten Cirebon,80,-6.614825,108.385331
12,Kabupaten Cirebon,76,-6.710589,108.384327
8,Kabupaten Cirebon,63,-6.759247,108.48401
4,,54,-6.818578,108.562648
3,,53,-6.572469,108.420404
9,,53,-6.643136,108.414892
13,,51,-6.8413,108.728876
7,,49,-6.804731,108.687901
11,,49,-6.872607,108.71987
22,,47,-6.867334,108.532313
1,,46,-6.603036,108.525976
18,,45,-6.907471,108.816281
20,,44,-6.889002,108.689159
6,,43,-6.641235,108.516857
16,,41,-6.76024,108.432437
14,,40,-6.756411,108.522096
5,,39,-6.672009,108.548511
15,,39,-6.650228,108.458643
10,,33,-6.799081,108.52428
17,,31,-6.853238,108.803035
19,,28,-6.857384,108.590025
24,,26,-6.909914,108.636667
