cluster_id,place_name,n_points,centroid_lat,centroid_lon
1,Plumbon,314,-6.706598,108.472852
3,Lemahabang Kulon,152,-6.825664,108.623073
28,Tegalgubug Lor,80,-6.614879,108.38555
15,Kedungbunder,70,-6.708781,108.385488
10,Babakan,61,-6.759173,108.483909
12,Kertawinangun,55,-6.71897,108.537242
4,,52,-6.572783,108.420419
17,,51,-6.8413,108.728876
11,,49,-6.643332,108.414784
9,,48,-6.804758,108.68749
14,,47,-6.872788,108.720487
2,,45,-6.602755,108.525706
30,,44,-6.930169,108.770192
8,,42,-6.641476,108.517094
6,,41,-6.900487,108.756526
0,,40,-6.649489,108.458317
5,,40,-6.821595,108.563031
23,,39,-6.889119,108.690486
7,,38,-6.673196,108.54804
26,,36,-6.761984,108.432923
20,,34,-6.90561,108.81877
27,,34,-6.868814,108.535076
13,,32,-6.799505,108.524429
19,,30,-6.853301,108.803261
24,,29,-6.773005,108.611457
18,,28,-6.754047,108.520408
21,,24,-6.856219,108.592069
33,,22,-6.910411,108.638364
31,,9,-6.916413,108.807705
16,,8,-6.860302,108.520486
22,,6,-6.866147,108.615477
34,,6,-6.79103,108.630895
35,,6,-6.72436,108.366753
29,,5,-6.868005,108.563363
32,,5,-6.805945,108.551803
36,,2,-6.751651,108.43693
