x,y,label,cluster_size
3.162864117,97.43535111,-1,0
3.369588337,97.69553622,-1,0
4.628775305,97.628639,-1,0
4.529982972,96.85903311,0,11
4.456642932,96.18545308,0,11
5.379938289,95.51560781,-1,0
5.068234183,96.00719606,0,11
5.014810789,97.18200372,0,11
2.613300537,96.08567682,-1,0
2.349932866,97.84708863,1,29
5.093660524,96.60626641,0,11
3.824899233,96.87832041,0,11
3.981926765,97.35753015,0,11
4.83218352,95.67870646,0,11
4.155410076,96.50678151,0,11
4.227726449,97.97688137,-1,0
4.76731416,97.00711807,0,11
5.124714376,96.21353373,0,11
5.558258484,95.32792891,-1,0
2.735614689,97.93724072,1,29
1.833899171,98.65973923,1,29
1.989765338,99.06973806,1,29
1.492751622,99.25806494,1,29
3.710740869,98.22034602,1,29
3.120679965,98.29603228,1,29
3.480873175,98.694354,1,29
2.977024475,99.03323495,1,29
2.802539179,99.5628562,1,29
2.279377815,100.056501,1,29
2.843625958,98.26728832,1,29
2.379733978,99.26420807,1,29
0.774369019,99.36943235,-1,0
2.554177524,98.24060471,1,29
2.270726236,98.57243146,1,29
2.558722206,98.72129092,1,29
3.367167834,99.05853853,1,29
3.234237912,99.4756244,1,29
1.593256234,99.75745193,1,29
1.140403603,99.84412085,1,29
1.838874091,100.1305365,1,29
2.33349,99.63776,1,29
1.312782135,97.35547737,2,3
1.025366583,97.48965258,2,3
3.627728154,98.66799792,1,29
2.962598153,99.05897438,1,29
1.738364406,98.78590558,1,29
2.964415827,99.79498816,1,29
3.599492105,98.48871137,1,29
3.328360248,99.15570865,1,29
1.396312068,99.28079477,1,29
1.265096177,97.58308864,2,3
-1.738282543,100.8807023,4,3
-0.962425114,100.8187208,3,14
-0.684085776,101.0895109,3,14
-0.460538248,100.5860473,3,14
-0.562342106,100.2277025,3,14
-0.249429836,100.1685136,3,14
0.029782302,100.5659229,3,14
0.387292104,100.0827601,-1,0
-1.5157192,99.00117561,-1,0
-1.130987214,101.5541936,4,3
-1.406356451,101.2525787,4,3
0.20695257,99.67811642,-1,0
-0.89571735,100.4353542,3,14
-0.782350945,100.6303651,3,14
-0.653771557,100.7570309,3,14
-0.471194156,100.4037158,3,14
-0.300098774,100.3720422,3,14
-0.22607156,100.6309808,3,14
-0.607652233,100.1372125,3,14
0.327175164,101.0708798,5,3
-0.533190804,102.3275739,-1,0
1.406096476,101.6633453,-1,0
-0.233307529,103.1573146,-1,0
0.219424058,102.2676239,-1,0
0.940085551,100.4748061,-1,0
1.773661928,100.7450462,-1,0
0.826470762,101.824895,5,3
-0.478821729,101.5034783,3,14
0.935445345,102.7022717,-1,0
0.549889537,101.4644363,5,3
1.797664954,101.3116538,-1,0
-2.03690692,101.4694243,-1,0
-2.196200906,102.0644191,-1,0
-2.309112822,102.6645664,7,31
-1.749733412,103.0960631,6,4
-1.609181941,103.7451795,6,4
-1.071070049,103.1133108,-1,0
-1.219820641,103.9673524,6,4
-1.598885998,101.9310014,-1,0
-1.310200347,102.3612754,-1,0
-1.617002229,103.600224,6,4
-2.113351246,101.3411129,-1,0
-4.100669956,104.0938297,7,31
-3.343173096,105.390681,-1,0
-3.635834516,104.0015653,7,31
-3.830558169,103.3853248,7,31
-3.166731277,103.1452211,7,31
-2.444084096,103.829672,-1,0
-2.48786973,104.6680933,-1,0
-4.068872768,104.5679224,7,31
-4.590247076,103.9152407,7,31
-3.409978047,104.6009031,7,31
-3.75194364,102.9535969,7,31
-3.209884577,103.9882793,7,31
-2.744398575,102.7358397,7,31
-4.109111601,103.2626737,7,31
-3.263523992,102.8793582,7,31
