x,y
-2.7967,8.9029
-2.5173,8.3797
-3.1169,9.2028
-2.0217,9.8280
-7.0688,-6.4247
-3.3963,8.5824
-6.6650,-6.5436
-2.0157,8.2818
-2.3104,9.5996
-6.7512,-7.6276
3.4886,1.9573
4.1699,1.7799
4.5245,2.1541
4.4046,1.0951
-5.4908,-8.0005
4.9530,2.1514
3.9251,2.3671
4.3220,2.2811
4.6191,1.2720
-2.4687,8.1594
-3.5441,8.6769
-5.5933,-6.4998
4.2319,2.1125
4.8176,2.1298
-1.8906,9.5731
4.6760,3.4511
4.7764,2.7575
-3.1998,9.2397
-7.0384,-5.2480
-2.0661,9.1171
-2.7856,9.6486
-2.4570,8.8349
4.7902,2.1810
-3.0540,8.1669
5.2179,2.2208
-2.6410,9.2286
5.3350,1.4808
5.1891,2.1704
4.4343,1.4918
-1.6298,8.8788
-6.5706,-6.5718
-3.3061,9.1324
-7.4133,-7.3696
4.0882,2.9031
4.7958,2.4423
-2.5524,9.6164
-6.8447,-7.5659
-2.8702,10.1257
-7.2767,-6.3686
4.2186,1.7766
5.4816,1.1321
-6.7757,-6.6489
-2.9943,8.7132
-6.5957,-6.9238
4.8157,1.5446
-2.7872,8.7348
-7.3178,-6.7502
-2.4541,7.8217
4.6981,2.5544
-6.2298,-6.2478
-7.1628,-6.2267
-7.1708,-6.8310
-6.9259,-6.6754
4.9920,3.2874
-4.0810,9.5074
4.5431,2.2156
-2.8696,8.8393
3.8977,1.1809
-2.2922,8.6272
-2.7909,9.3398
-2.9154,9.3813
-6.5042,-7.3944
-2.3640,7.8663
-6.3864,-5.7420
-7.3088,-6.4724
5.1145,1.4275
-2.5786,8.8336
-7.0269,-7.3324
4.7944,1.9285
-7.3551,-6.9490
-7.0137,-6.4517
-2.8358,9.0808
-2.3147,8.7832
-2.2924,9.9371
-1.6225,8.7033
-6.7136,-6.3838
-8.0947,-6.7682
-7.7062,-7.4428
-6.5706,-4.5685
-6.8523,-7.2711
4.6997,1.6711
4.6429,1.8324
-7.3433,-7.0222
-7.3877,-7.7890
4.0551,2.4454
-3.1730,8.2966
5.3256,2.4243
-6.8718,-6.0080
5.7716,2.0779
-6.5766,-6.3607
-3.0127,8.8288
5.7593,2.2575
5.1280,1.2347
-7.1475,-6.3663
-2.3030,7.9565
3.6754,2.0839
3.7095,2.0143
4.0025,2.2573
-6.5371,-6.1988
4.0456,1.6334
-2.3839,7.8385
-7.5998,-7.0808
-6.4679,-7.8477
-6.3072,-6.4893
-7.5222,-6.5906
3.7907,1.7208
-7.4099,-6.7879
-2.5307,9.9531
-6.8411,-7.5268
-1.5617,9.4747
15.0000,15.0000
16.0000,17.0000
14.0000,18.0000
-12.0000,-12.0000
